ID,teacherName,gender,birthday,birthplace,email,phonenumber,currentResidence,image,createDate,updateDate,finishDate
GV000001,Đậu Quỳnh Anh,Nữ,24/05/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000002,Trương Khiết Bình,Nam,25/05/1990,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000003,Võ Huỳnh Chi,Nữ,26/05/1996,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000004,Hà Thị Mỹ Diệu,Nữ,27/05/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000005,Hắc Khả Doanh,Nữ,28/05/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000006,Đoàn Thị Nguyệt Hà,Nữ,29/05/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000007,Nguyễn Thị Phương Hằng,Nữ,30/05/1993,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000008,Bùi Lê Gia Hân,Nữ,31/05/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000009,Phan Thái Hậu,Nam,01/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000010,Đào Vinh Hiển,Nam,02/06/1992,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000011,Lê Nguyễn Minh Hoài,Nữ,03/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000012,Nguyễn Thị Huệ,Nữ,04/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000013,Nguyễn Văn Hậu,Nam,05/06/1992,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000014,Vũ thị Hạnh,Nữ,06/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000015,Văn Thị Hồng Hảo,Nữ,07/06/1994,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000016,Nguyễn Thị Ngọc Hân,Nữ,08/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000017,Đoàn Thị Hiền,Nữ,09/06/1995,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000018,Hắc Thị Như Hiệp,Nữ,10/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000019,Nguyễn Công Hiếu,Nam,11/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000020,Nguyễn Tấn Hiệu,Nam,12/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000021,Nguyễn Thị Thu Hoài,Nữ,13/06/1996,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000022,Huỳnh Lê Gia Hoàng,Nam,14/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000023,Nguyễn Hữu Huân,Nam,15/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000024,Nguyễn Thị Thanh Huệ,Nữ,16/06/1991,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000025,Nguyễn Anh Minh,Nam,17/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000026,Thang Vỹ Hùng,Nam,18/06/1998,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000027,Hoàng Quang Huy,Nam,19/06/1994,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000028,Lê Đoàn Gia Huy,Nam,20/06/1997,Thành phố HCM,,,,,25/09/2023 16:35:40,,
GV000029,Lê Anh Thư,Nữ,21/06/1989,Thành phố HCM,,,,,25/09/2023 16:35:40,,
